QTD_Bytes,Distancia_m,Tempo_ms,QTD_Paredes,INT_WIFI,INT_WIFI-Mesmo_Canal,INT_WIFI-Proximo,INT_BT,INT_BT-Proximo,INT_MICROONDAS,INT_MICROONDAS-Proximo,INT_FURADEIRA,INT_FURADEIRA-Proximo
6784,0,382.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
6912,0,357.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
7040,0,333.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
7168,0,369.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
7296,0,378.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
7424,0,344.0,0,1,SAME,SERVER,1,CLIENT,0,,0,
7552,0,424.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
7680,0,397.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
7808,0,368.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
7936,0,348.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
8064,0,391.0,0,1,SAME,SERVER,1,CLIENT,0,,0,
8192,0,397.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
8320,0,370.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
8448,0,347.0,0,1,SAME,SERVER,1,CLIENT,0,,0,
8576,0,355.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
8704,0,399.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
8832,0,375.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
8960,0,347.0,0,1,SAME,SERVER,1,CLIENT,0,,0,
9088,0,422.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
9216,0,399.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
9344,0,377.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
9472,0,381.0,0,1,SAME,SERVER,1,CLIENT,0,,0,
9600,0,418.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
9728,0,401.0,0,1,SAME,SERVER,1,CLIENT,0,,0,
9856,0,369.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
9984,0,375.6666666666667,0,1,SAME,SERVER,1,CLIENT,0,,0,
10112,0,416.0,0,1,SAME,SERVER,1,CLIENT,0,,0,
10240,0,388.3333333333333,0,1,SAME,SERVER,1,CLIENT,0,,0,
128,1,275.6666666666667,0,1,SAME,SERVER,0,,0,,0,
256,1,288.6666666666667,0,1,SAME,SERVER,0,,0,,0,
384,1,363.0,0,1,SAME,SERVER,0,,0,,0,
512,1,342.0,0,1,SAME,SERVER,0,,0,,0,
640,1,322.3333333333333,0,1,SAME,SERVER,0,,0,,0,
768,1,292.3333333333333,0,1,SAME,SERVER,0,,0,,0,
896,1,380.0,0,1,SAME,SERVER,0,,0,,0,
1024,1,358.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1152,1,333.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1280,1,307.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1408,1,381.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1536,1,353.0,0,1,SAME,SERVER,0,,0,,0,
1664,1,330.3333333333333,0,1,SAME,SERVER,0,,0,,0,
1792,1,373.6666666666667,0,1,SAME,SERVER,0,,0,,0,
1920,1,380.3333333333333,0,1,SAME,SERVER,0,,0,,0,
2048,1,355.0,0,1,SAME,SERVER,0,,0,,0,
